Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,,,,,ACR15,,5598408,,,,,,,,,,,,,,,,
QCDR,,,,,AJRR15,,"5224253, 1157686",,,,,,,,Y,,,,,,,,
QCDR,,,,,AQI71,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR) in Collaboration with American Society of Anesthesiologists (ASA),,,,,,,,,,,,,,,,,
QCDR,,,,,ECPR46,,"1718371, 5133825, 4757099",,,,,,,,,,,,,,,,
QCDR,,,,,ECPR51,,"1718371, 4757099, 8483899",,,,,,,,,,,,,,,,
QCDR,,,,,ECPR58,,"1718371, 4757099, 8483899",,,,,,,,,,,,,,,,
QCDR,,,,,ECPR59,,"1718371, 4757099, 8483899",,,,,,,,,,,,,,,,
QCDR,"Avoidance of Advanced Imaging for Pediatric Patients with Unprovoked, Generalized Seizure",,,,ECPR60,,"1718371, 3967247, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,EPREOP31,Anesthesia Quality Registry (AQR QCDR) in Collaboration with Anesthesia Quality Institute (AQI) and American Society of Anesthesiologists (ASA),"6775913, 5551268, 6169123, 7418330",,,,,,,,,,,,,,,,
QCDR,,,,,HCPR24,,"8483899, 5133825, 1718371",,,,,,,,,,,,,,,,
QCDR,,,,,HCPR25,,"8483899, 1718371",,,,,,,,,,,,,,,,
QCDR,,,,,HCPR27,,"8483899, 1718371, 4757099",,,,,,,,,,,,,,,,
